Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
496,Andrew Wiggins\wiggian01,SF,24,MIN,42,42,1455,11.2,25.2,.444,2.9,8.8,.331,8.3,16.4,.505,4.8,6.6,.720,1.5,5.5,7.0,4.9,0.9,1.1,3.4,3.2,30.1,,104,115
496,Andrew Wiggins\wiggian01,SG,24,GSW,12,12,403,10.2,22.3,.457,2.4,7.0,.339,7.8,15.3,.512,4.9,7.2,.672,2.1,4.4,6.5,5.1,1.9,2.0,3.0,3.1,27.7,,106,113
497,Grant Williams\willigr01,PF,21,BOS,62,5,970,4.0,9.6,.417,1.0,4.2,.247,2.9,5.3,.551,1.8,2.5,.725,2.9,5.3,8.2,3.1,1.4,1.6,2.3,7.4,10.9,,105,108
498,Johnathan Williams\willijo04,C,24,WAS,11,5,135,5.5,8.6,.640,0.0,0.7,.000,5.5,8.0,.696,1.0,1.7,.600,5.2,9.7,14.9,2.1,0.3,2.1,1.4,3.8,12.1,,132,115
499,Kenrich Williams\willike04,PF,25,NOP,35,18,779,2.9,8.5,.343,1.5,5.7,.260,1.4,2.8,.511,0.5,1.4,.375,2.9,7.7,10.6,3.1,1.5,1.2,1.2,4.8,7.8,,103,111
500,Lou Williams\willilo02,SG,33,LAC,60,8,1757,9.8,23.7,.416,2.9,7.9,.363,7.0,15.8,.442,7.5,8.6,.863,0.8,4.2,5.0,9.2,1.1,0.3,4.6,2.1,30.0,,109,111
501,Marvin Williams\willima02,PF,33,TOT,52,1,1011,5.3,12.1,.442,2.5,7.0,.361,2.8,5.1,.552,2.3,2.6,.870,1.0,6.2,7.2,2.7,1.7,1.3,1.4,4.6,15.5,,116,110
501,Marvin Williams\willima02,PF,33,CHO,41,1,808,5.8,13.0,.448,2.7,7.3,.376,3.1,5.8,.538,2.7,3.1,.860,0.9,5.8,6.8,2.5,1.6,1.4,1.6,4.4,17.1,,115,113
501,Marvin Williams\willima02,PF,33,MIL,11,0,203,3.6,8.8,.410,1.8,6.1,.296,1.8,2.7,.667,0.9,0.9,1.000,1.1,7.7,8.8,3.4,2.0,0.9,0.7,5.2,9.9,,119,101
502,Robert Williams\williro04,C,22,BOS,23,1,323,6.3,9.3,.677,0.0,0.0,,6.3,9.3,.677,2.1,3.7,.560,5.1,11.1,16.2,3.3,3.0,4.2,3.0,6.0,14.7,,123,98
503,Nigel Williams-Goss\willini01,PG,25,UTA,9,0,28,1.7,12.2,.143,0.0,3.5,.000,1.7,8.7,.200,3.5,3.5,1.000,3.5,5.2,8.7,8.7,1.7,1.7,3.5,3.5,7.0,,80,108
504,Zion Williamson\willizi01,PF,19,NOP,19,19,565,14.1,23.9,.589,0.5,1.1,.462,13.6,22.8,.595,8.0,12.4,.645,4.5,6.1,10.5,3.4,1.3,0.7,4.2,2.6,36.6,,116,113
505,D.J. Wilson\wilsodj01,PF,23,MIL,31,0,280,6.5,16.5,.396,2.3,9.0,.255,4.2,7.5,.565,1.0,1.5,.667,1.6,9.5,11.1,3.6,0.3,0.8,2.4,4.2,16.3,,95,104
506,Justise Winslow\winslju01,SF,23,MIA,11,5,352,6.9,17.9,.388,0.8,3.8,.222,6.1,14.2,.431,2.5,3.8,.667,2.2,7.9,10.1,6.1,1.0,0.7,3.3,5.3,17.2,,93,111
507,Christian Wood\woodch01,PF,24,DET,62,12,1325,10.7,18.9,.567,2.0,5.2,.386,8.7,13.7,.636,6.7,9.0,.744,3.9,10.6,14.5,2.2,1.3,2.0,3.1,3.6,30.1,,123,110
508,Delon Wright\wrighde01,SG,27,DAL,65,5,1412,6.1,13.1,.470,1.5,4.0,.385,4.6,9.1,.508,2.4,3.1,.789,2.3,6.6,8.9,7.5,2.6,0.7,2.3,2.8,16.3,,121,109
509,Justin Wright-Foreman\wrighju02,PG,22,UTA,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117
510,Thaddeus Young\youngth01,PF,31,CHI,64,16,1591,8.1,18.2,.448,2.4,6.7,.356,5.8,11.5,.501,1.3,2.2,.583,2.8,6.7,9.5,3.5,2.8,0.7,3.1,4.1,20.0,,101,108
511,Trae Young\youngtr01,PG,21,ATL,60,60,2120,12.0,27.5,.437,4.5,12.5,.361,7.5,15.0,.501,10.6,12.3,.860,0.7,4.9,5.6,12.3,1.4,0.2,6.4,2.3,39.1,,114,117
512,Cody Zeller\zelleco01,C,27,CHO,58,39,1341,9.4,17.9,.524,0.7,2.8,.240,8.7,15.1,.577,4.6,6.7,.682,6.0,9.4,15.4,3.3,1.5,0.9,2.8,5.2,24.0,,116,111
513,Ante Žižić\zizican01,C,23,CLE,22,0,221,9.0,15.9,.569,0.0,0.0,,9.0,15.9,.569,3.1,4.2,.737,4.0,10.6,14.5,1.3,1.5,1.1,2.2,5.9,21.1,,116,113
514,Ivica Zubac\zubaciv01,C,22,LAC,64,62,1156,8.2,13.7,.601,0.0,0.1,.000,8.2,13.6,.605,4.4,5.8,.759,6.8,12.0,18.8,2.8,0.5,2.4,2.2,6.0,20.8,,132,104
